epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,261.664,0.78887,1.5764,0.92787,1,0.27436,0.87424,0.68461,0.72994,2.71187,0.88867,0.000656085,0.000656085,0.000656085
2,687.854,0.8364,1.07862,0.97557,0.91942,0.84074,0.9131,0.73357,0.70708,1.38945,0.91596,0.00129656,0.00129656,0.00129656
3,913.694,0.82661,0.8781,0.96398,0.98491,0.97895,0.98384,0.78571,0.78579,1.05736,0.94797,0.00191064,0.00191064,0.00191064
4,1209.64,0.81427,0.7575,0.9675,0.95793,0.96842,0.98165,0.81471,0.70702,0.63648,0.9328,0.0018812,0.0018812,0.0018812
5,1758.26,0.76361,0.62771,0.95239,0.98923,0.98947,0.98433,0.8252,0.66111,0.55757,0.92312,0.0018416,0.0018416,0.0018416
6,2136.79,0.73941,0.58025,0.94946,0.96901,0.98749,0.99366,0.80035,0.73194,0.6011,0.98442,0.001802,0.001802,0.001802
7,2673.84,0.71337,0.52838,0.93417,0.99876,0.97895,0.98715,0.82759,0.61927,0.51172,0.90408,0.0017624,0.0017624,0.0017624
8,3289.36,0.70074,0.50616,0.93148,0.98763,0.98947,0.99196,0.84792,0.59614,0.43318,0.89252,0.0017228,0.0017228,0.0017228
9,3794.26,0.66804,0.46109,0.92092,0.98946,0.98778,0.99238,0.8426,0.59884,0.40722,0.88657,0.0016832,0.0016832,0.0016832
10,6779.19,0.64775,0.45641,0.91881,0.98957,0.9986,0.9949,0.84716,0.59597,0.39855,0.89929,0.0016436,0.0016436,0.0016436
11,7163.78,0.67549,0.45533,0.91706,0.987,0.98947,0.99188,0.85413,0.59218,0.39476,0.87799,0.001604,0.001604,0.001604
12,7548.07,0.65927,0.43033,0.91723,1,0.98546,0.99479,0.86178,0.56311,0.35952,0.88193,0.0015644,0.0015644,0.0015644
13,7767.46,0.62478,0.42335,0.90602,0.98947,0.98915,0.9943,0.84432,0.60678,0.36282,0.90369,0.0015248,0.0015248,0.0015248
14,7989.51,0.60542,0.40955,0.90941,1,0.99905,0.995,0.84369,0.61509,0.35584,0.90743,0.0014852,0.0014852,0.0014852
15,8549.89,0.62383,0.41822,0.90183,0.99782,1,0.995,0.83838,0.66681,0.37826,0.92645,0.0014456,0.0014456,0.0014456
16,9211.4,0.60396,0.39635,0.9044,1,0.98743,0.9946,0.85536,0.57768,0.3508,0.88742,0.001406,0.001406,0.001406
